"출입국항별","내외국인별","성별","시점","항목",데이터
"김해(김해공항)","내국인","남자","2000","입국자",4538
"김해(김해공항)","내국인","남자","2000","출국자",6373
"김해(김해공항)","내국인","남자","2001","입국자",6888
"김해(김해공항)","내국인","남자","2001","출국자",9152
"김해(김해공항)","내국인","남자","2002","입국자",8407
"김해(김해공항)","내국인","남자","2002","출국자",10098
"김해(김해공항)","내국인","남자","2003","입국자",8839
"김해(김해공항)","내국인","남자","2003","출국자",9964
"김해(김해공항)","내국인","남자","2004","입국자",8020
"김해(김해공항)","내국인","남자","2004","출국자",10575
"김해(김해공항)","내국인","남자","2005","입국자",9482
"김해(김해공항)","내국인","남자","2005","출국자",13443
"김해(김해공항)","내국인","남자","2006","입국자",11064
"김해(김해공항)","내국인","남자","2006","출국자",14250
"김해(김해공항)","내국인","남자","2007","입국자",12168
"김해(김해공항)","내국인","남자","2007","출국자",15716
"김해(김해공항)","내국인","남자","2008","입국자",14288
"김해(김해공항)","내국인","남자","2008","출국자",16148
"김해(김해공항)","내국인","남자","2009","입국자",13780
"김해(김해공항)","내국인","남자","2009","출국자",13655
"김해(김해공항)","내국인","남자","2010","입국자",11747
"김해(김해공항)","내국인","남자","2010","출국자",13211
"김해(김해공항)","내국인","남자","2011","입국자",12574
"김해(김해공항)","내국인","남자","2011","출국자",13230
"김해(김해공항)","내국인","남자","2012","입국자",39499
"김해(김해공항)","내국인","남자","2012","출국자",41602
"김해(김해공항)","내국인","남자","2013","입국자",16538
"김해(김해공항)","내국인","남자","2013","출국자",16782
"김해(김해공항)","내국인","남자","2014","입국자",17240
"김해(김해공항)","내국인","남자","2014","출국자",15631
"김해(김해공항)","내국인","남자","2015","입국자",16000
"김해(김해공항)","내국인","남자","2015","출국자",15028
"김해(김해공항)","내국인","남자","2016","입국자",16759
"김해(김해공항)","내국인","남자","2016","출국자",15928
"김해(김해공항)","내국인","남자","2017","입국자",17307
"김해(김해공항)","내국인","남자","2017","출국자",15523
"김해(김해공항)","내국인","남자","2018","입국자",17737
"김해(김해공항)","내국인","남자","2018","출국자",15413
"김해(김해공항)","내국인","남자","2019","입국자",17222
"김해(김해공항)","내국인","남자","2019","출국자",14783
"김해(김해공항)","내국인","남자","2020","입국자",9318
"김해(김해공항)","내국인","남자","2020","출국자",4292
"김해(김해공항)","내국인","남자","2021","입국자",363
"김해(김해공항)","내국인","남자","2021","출국자",330
"김해(김해공항)","내국인","남자","2022","입국자",2605
"김해(김해공항)","내국인","남자","2022","출국자",3309
"김해(김해공항)","내국인","남자","2023","입국자",8884
"김해(김해공항)","내국인","남자","2023","출국자",8976
"김해(김해공항)","내국인","여자","2000","입국자",4306
"김해(김해공항)","내국인","여자","2000","출국자",6124
"김해(김해공항)","내국인","여자","2001","입국자",5694
"김해(김해공항)","내국인","여자","2001","출국자",8109
"김해(김해공항)","내국인","여자","2002","입국자",7198
"김해(김해공항)","내국인","여자","2002","출국자",9316
"김해(김해공항)","내국인","여자","2003","입국자",7754
"김해(김해공항)","내국인","여자","2003","출국자",9832
"김해(김해공항)","내국인","여자","2004","입국자",7882
"김해(김해공항)","내국인","여자","2004","출국자",10597
"김해(김해공항)","내국인","여자","2005","입국자",9173
"김해(김해공항)","내국인","여자","2005","출국자",13044
